x,y,STN_ID,STATION_NAME,PROV_STATE_TERR_CODE,ENG_PROV_NAME,FRE_PROV_NAME,COUNTRY,LATITUDE,LONGITUDE,TIMEZONE,ELEVATION,CLIMATE_IDENTIFIER,TC_IDENTIFIER,WMO_IDENTIFIER,STATION_TYPE,NORMAL_CODE,PUBLICATION_CODE,DISPLAY_CODE,ENG_STN_OPERATOR_ACRONYM,FRE_STN_OPERATOR_ACRONYM,ENG_STN_OPERATOR_NAME,FRE_STN_OPERATOR_NAME,FIRST_DATE,LAST_DATE,HLY_FIRST_DATE,HLY_LAST_DATE,DLY_FIRST_DATE,DLY_LAST_DATE,MLY_FIRST_DATE,MLY_LAST_DATE,HAS_MONTHLY_SUMMARY,HAS_NORMALS_DATA,HAS_HOURLY_DATA
-132.11747222222223,54.02261111111111,360,MASSET AIRPORT,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,540121400,-1320702900,PST,5.80,1054920,ZMT,,Aviation-Staffed,G,1,8,,,,,1897-01-01 00:00:00,2014-08-07 10:00:00,2005-10-27 06:00:00,2014-08-07 10:00:00,1897-06-01 00:00:00,2008-06-30 00:00:00,1897-01-01 00:00:00,2007-02-01 00:00:00,Y,N,Y
-131.81305555555556,53.25388888888889,367,SANDSPIT A,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,531514000,-1314847000,PST,6.40,1057050,YZP,,Climate-Staffed,A,1,1,CCN,RCSC,Co-operative Climate Network,Réseau coopératif de stations climatiques,1945-01-01 00:00:00,2017-03-30 00:00:00,1953-01-01 00:00:00,2005-01-19 18:00:00,1945-09-01 00:00:00,2017-03-30 00:00:00,1945-01-01 00:00:00,2007-02-01 00:00:00,Y,Y,Y
-126.59583333333333,52.3875,381,BELLA COOLA A,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,522315000,-1263545000,PST,35.70,1060841,YBD,71206,Aviation-Staffed,D,1,5,,,,,1983-01-01 00:00:00,2017-11-18 00:00:00,1983-02-01 07:00:00,2013-08-15 10:00:00,1983-02-01 00:00:00,2017-11-18 00:00:00,1983-01-01 00:00:00,2007-02-01 00:00:00,Y,Y,Y
-130.63769444444443,53.49275,384,BONILLA ISLAND,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,532933900,-1303815700,PST,16.20,1060902,WVB,,Climate-Staffed,A,1,1,CCG,GCC,Canadian Coast Guard,Garde côtière canadienne,1960-01-01 00:00:00,2024-11-25 00:00:00,1994-02-01 07:00:00,2001-12-13 10:00:00,1960-04-01 00:00:00,2024-11-25 00:00:00,1960-01-01 00:00:00,2007-02-01 00:00:00,Y,Y,Y
-129.68333333333334,53.05,390,ETHELDA BAY,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,530300000,-1294100000,PST,9.60,1062745,,,N/A,D,1,5,,,,,1957-01-01 00:00:00,1994-04-06 05:27:00,1957-12-02 05:00:00,1994-04-06 05:27:00,1957-12-01 00:00:00,1991-05-31 00:00:00,1957-01-01 00:00:00,1991-11-01 00:00:00,Y,N,Y
-128.71944444444443,52.26166666666666,409,MCINNES ISLAND,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,521542000,-1284310000,PST,25.90,1065010,WMS,71897,Climate-Staffed,A,1,1,CCG,GCC,Canadian Coast Guard,Garde côtière canadienne,1954-01-01 00:00:00,2024-11-25 00:00:00,1955-01-01 10:00:00,2001-12-13 13:00:00,1954-02-01 00:00:00,2024-11-25 00:00:00,1954-01-01 00:00:00,2007-02-01 00:00:00,Y,Y,Y
-130.38333333333333,54.28333333333333,421,PRINCE RUPERT,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,541700000,-1302300000,PST,51.80,1066480,,,N/A,,1,9,,,,,1908-01-01 00:00:00,1962-12-31 22:00:00,1953-02-01 04:00:00,1962-12-31 22:00:00,1908-08-01 00:00:00,1962-12-31 00:00:00,1908-01-01 00:00:00,1962-12-01 00:00:00,Y,N,Y
-130.44472222222223,54.2925,422,PRINCE RUPERT A,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,541733000,-1302641000,PST,35.40,1066481,,,Climate-Staffed,A,1,1,,,,,1961-08-16 07:00:00,2006-03-31 00:00:00,1961-08-16 07:00:00,2005-01-21 05:00:00,1962-05-01 00:00:00,2006-03-31 00:00:00,1962-01-01 00:00:00,2006-03-01 00:00:00,Y,Y,Y
-129.985,55.93611111111111,434,STEWART A,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,555610000,-1295906000,PST,7.30,1067742,ZST,,Aviation-Staffed,A,1,1,,,,,1974-12-01 00:00:00,2016-06-12 00:00:00,1974-12-10 10:00:00,2015-01-15 10:00:00,1974-12-01 00:00:00,2016-06-12 00:00:00,1975-01-01 00:00:00,2007-02-01 00:00:00,Y,Y,Y
-128.5775,54.466388888888886,441,TERRACE A,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,542759000,-1283439000,PST,217.30,1068130,YXT,71951,Aviation-Staffed,A,1,1,,,,,1953-01-01 00:00:00,2013-01-17 10:00:00,1955-04-20 16:00:00,2013-01-17 10:00:00,1953-08-01 00:00:00,2013-01-16 00:00:00,1953-01-01 00:00:00,2013-01-01 00:00:00,Y,Y,Y
-127.18277777777777,54.82472222222222,487,SMITHERS A,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,544929000,-1271058000,PST,521.80,1077500,YYD,,Aviation-Staffed,A,1,1,CCN,RCSC,Co-operative Climate Network,Réseau coopératif de stations climatiques,1942-01-01 00:00:00,2018-11-03 00:00:00,1953-01-01 00:00:00,2012-04-12 10:00:00,1942-06-01 00:00:00,2018-11-03 00:00:00,1942-01-01 00:00:00,2010-04-01 00:00:00,Y,Y,Y
-122.73408888888889,50.30564611111111,536,PEMBERTON AIRPORT CS,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,501820326,-1224402720,PST,204.30,1086082,WGP,71777,Climate-Auto,F,1,7,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service météorologique du Canada,1984-01-01 00:00:00,2024-11-26 12:30:01,1988-06-01 07:00:00,2024-11-26 12:30:01,1984-04-01 00:00:00,2024-11-26 00:00:00,1984-01-01 00:00:00,2006-12-01 00:00:00,Y,N,Y
-124.08333333333333,52.11666666666667,543,PUNTZI MOUNTAIN,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,520700000,-1240500000,PST,909.50,1086556,,,N/A,F,1,7,,,,,1968-01-01 00:00:00,1979-12-01 00:00:00,1968-05-16 07:00:00,1979-07-31 08:00:00,1968-05-01 00:00:00,1979-07-31 00:00:00,1968-01-01 00:00:00,1979-12-01 00:00:00,Y,N,Y
-125.76666666666667,54.233333333333334,572,BURNS LAKE,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,541400000,-1254600000,PST,704.10,1091169,,,N/A,D,1,5,,,,,1969-01-01 00:00:00,1990-12-01 00:00:00,1969-02-03 01:00:00,1990-11-30 16:00:00,1969-02-01 00:00:00,1990-11-30 00:00:00,1969-01-01 00:00:00,1990-12-01 00:00:00,Y,N,Y
-125.95866666666667,54.38316666666667,574,BURNS LAKE DECKER LAKE,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,542259400,-1255731200,PST,713.20,1091174,WPZ,71952,Climate-Auto,G,1,8,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service météorologique du Canada,1990-01-01 00:00:00,2024-11-26 12:30:01,1990-12-01 04:00:00,2024-11-26 12:30:01,1990-12-01 00:00:00,2024-11-26 00:00:00,1990-01-01 00:00:00,2006-11-01 00:00:00,Y,N,Y
-122.67888888888889,53.89083333333333,631,PRINCE GEORGE A,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,535327000,-1224044000,PST,691.30,1096450,YXS,71896,Aviation-Staffed,A,1,1,,,,,1942-01-01 00:00:00,2009-10-22 10:00:00,1953-01-01 00:00:00,2009-10-22 10:00:00,1942-07-01 00:00:00,2009-10-21 00:00:00,1942-01-01 00:00:00,2009-10-01 00:00:00,Y,Y,Y
-122.51,53.02611111111111,640,QUESNEL A,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,530134000,-1223036000,PST,545.00,1096630,,,Climate-Staffed,A,1,1,,,,,1946-01-01 00:00:00,2007-03-30 00:00:00,1953-01-01 00:00:00,2006-02-22 22:00:00,1946-02-01 00:00:00,2007-03-30 00:00:00,1946-01-01 00:00:00,2007-02-01 00:00:00,Y,Y,Y
-122.05416666666666,52.183055555555555,664,WILLIAMS LAKE A,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,521059000,-1220315000,PST,939.70,1098940,YWL,71104,Aviation-Staffed,A,1,1,,,,,1960-12-01 00:00:00,2012-12-06 10:00:00,1961-01-01 00:00:00,2012-12-06 10:00:00,1960-12-01 00:00:00,2012-12-05 00:00:00,1961-01-01 00:00:00,2012-12-01 00:00:00,Y,Y,Y
-122.36,49.02527777777778,702,ABBOTSFORD A,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,490131000,-1222136000,PST,59.10,1100030,YXX,71108,Aviation-Staffed,A,1,1,,,,,1944-01-01 00:00:00,2012-06-21 10:00:00,1953-01-01 00:00:00,2012-06-21 10:00:00,1944-10-01 00:00:00,2012-06-20 00:00:00,1944-01-01 00:00:00,2012-06-01 00:00:00,Y,Y,Y
-123.12186944444444,49.29535277777778,888,VANCOUVER HARBOUR CS,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,491743270,-1230718730,PST,2.50,1108446,WHC,71201,Climate-Auto,D,1,5,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service météorologique du Canada,1925-01-01 00:00:00,2024-11-26 12:30:01,1976-01-20 07:00:00,2024-11-26 12:30:01,1925-11-01 00:00:00,2024-11-26 00:00:00,1925-01-01 00:00:00,2007-02-01 00:00:00,Y,N,Y
-123.18194444444444,49.195,889,VANCOUVER INT'L A,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,491142000,-1231055000,PST,4.30,1108447,YVR,,Aviation-Staffed,A,1,1,,,,,1937-01-01 00:00:00,2013-06-13 10:00:00,1953-01-01 00:00:00,2013-06-13 10:00:00,1937-01-01 00:00:00,2013-06-12 00:00:00,1937-01-01 00:00:00,2013-06-01 00:00:00,Y,Y,Y
-122.7838888888889,49.018055555555556,925,WHITE ROCK CAMPBELL SCIENTIFIC,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,490105000,-1224702000,PST,13.00,1108910,WWK,71785,Climate-Auto,F,1,7,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service météorologique du Canada,1929-01-01 00:00:00,2024-11-26 12:30:01,1994-02-01 00:00:00,2024-11-26 12:30:01,1929-01-01 00:00:00,2024-11-26 00:00:00,1929-01-01 00:00:00,2007-02-01 00:00:00,Y,N,Y
-121.48333333333333,49.36666666666667,945,HOPE,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,492200000,-1212900000,PST,39.00,1113539,YHE,71114,Climate-Auto,G,1,9,,,,,1990-01-01 00:00:00,2005-03-08 22:00:00,1994-02-02 16:00:00,2005-03-08 22:00:00,1990-03-01 00:00:00,2005-03-08 00:00:00,1990-01-01 00:00:00,2004-11-01 00:00:00,Y,N,Y
-121.49805555555555,49.36833333333333,946,HOPE A,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,492206000,-1212953000,PST,39.00,1113540,,,N/A,C,1,4,,,,,1934-01-01 00:00:00,1995-03-31 07:00:00,1953-01-01 04:00:00,1995-03-31 07:00:00,1934-06-01 00:00:00,1995-03-31 00:00:00,1934-01-01 00:00:00,1995-03-01 00:00:00,Y,N,Y
-121.58194444444445,50.224444444444444,961,LYTTON,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,501328000,-1213455000,PST,225.00,1114739,WLY,,Aviation-Auto,G,1,9,,,,,1990-01-01 00:00:00,2013-08-22 10:00:00,1994-02-01 00:00:00,2013-08-22 10:00:00,1990-03-01 00:00:00,2013-08-22 00:00:00,1990-01-01 00:00:00,2007-02-01 00:00:00,Y,N,Y
-121.56666666666666,50.233333333333334,962,LYTTON,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,501400000,-1213400000,PST,175.00,1114740,,,N/A,,1,9,,,,,1944-01-01 00:00:00,1970-12-01 00:00:00,1953-01-01 00:00:00,1970-01-31 23:00:00,1944-08-01 00:00:00,1969-12-31 00:00:00,1944-01-01 00:00:00,1970-12-01 00:00:00,Y,N,Y
-121.58333333333333,50.233333333333334,963,LYTTON,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,501400000,-1213500000,PST,229.00,1114741,,,N/A,C,1,4,,,,,1970-01-01 00:00:00,1991-12-01 00:00:00,1970-02-01 00:00:00,1991-08-30 13:00:00,1970-01-01 00:00:00,1991-08-31 00:00:00,1970-01-01 00:00:00,1991-12-01 00:00:00,Y,N,Y
-119.37777777777778,49.95611111111111,1001,KELOWNA A,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,495722000,-1192240000,PST,429.50,1123970,YLW,71203,Aviation-Staffed,A,1,1,,,,,1959-03-23 08:00:00,2005-09-30 00:00:00,1959-03-23 08:00:00,2005-01-21 05:00:00,1968-10-01 00:00:00,2005-09-30 00:00:00,1968-01-01 00:00:00,2005-09-01 00:00:00,Y,Y,Y
-119.44099166666666,49.02829166666667,1041,OSOYOOS CS,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,490141850,-1192627570,PST,282.90,1125852,WYY,71215,Climate-Auto,F,1,7,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service météorologique du Canada,1990-01-01 00:00:00,2024-11-26 12:30:01,1994-02-01 00:00:00,2024-11-26 12:30:01,1990-08-01 00:00:00,2024-11-26 00:00:00,1990-01-01 00:00:00,2006-11-01 00:00:00,Y,N,Y
-119.60222222222222,49.463055555555556,1053,PENTICTON A,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,492747000,-1193608000,PST,344.40,1126150,YYF,71889,Aviation-Staffed,A,1,1,,,,,1941-01-01 00:00:00,2012-05-10 10:00:00,1953-01-01 00:00:00,2012-05-10 10:00:00,1941-04-01 00:00:00,2012-05-10 00:00:00,1941-01-01 00:00:00,2012-05-01 00:00:00,Y,Y,Y
-120.5125,49.467777777777776,1056,PRINCETON A,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,492804000,-1203045000,PST,701.70,1126510,YDC,,Aviation-Staffed,A,1,1,CCN,RCSC,Co-operative Climate Network,Réseau coopératif de stations climatiques,1936-11-01 00:00:00,2024-11-24 00:00:00,1953-01-01 00:00:00,2013-08-15 10:00:00,1936-11-01 00:00:00,2024-11-24 00:00:00,1937-01-01 00:00:00,2007-02-01 00:00:00,Y,Y,Y
-117.6325,49.29638888888889,1105,CASTLEGAR A,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,491747000,-1173757000,PST,495.60,1141455,YCG,,Aviation-Staffed,A,1,1,CCN,RCSC,Co-operative Climate Network,Réseau coopératif de stations climatiques,1954-01-12 07:00:00,2024-09-29 00:00:00,1954-01-12 07:00:00,2013-05-16 10:00:00,1965-12-01 00:00:00,2024-09-29 00:00:00,1966-01-01 00:00:00,2007-02-01 00:00:00,Y,Y,Y
-115.78194444444445,49.61222222222222,1174,CRANBROOK A,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,493644000,-1154655000,MST,940.00,1152102,YXC,71880,Aviation-Staffed,A,1,1,,,,,1968-01-01 00:00:00,2012-11-15 00:00:00,1968-03-01 09:00:00,2012-11-08 11:00:00,1968-03-01 00:00:00,2012-11-15 00:00:00,1968-01-01 00:00:00,2012-11-01 00:00:00,Y,Y,Y
-114.88277777777778,49.74527777777778,1207,SPARWOOD,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,494443000,-1145258000,MST,1137.70,1157630,,,Climate-Staffed,D,1,5,CCN,RCSC,Co-operative Climate Network,Réseau coopératif de stations climatiques,1980-01-01 00:00:00,2020-02-22 00:00:00,1980-03-03 07:00:00,2014-10-02 11:00:00,1980-03-01 00:00:00,2020-02-22 00:00:00,1980-01-01 00:00:00,2007-02-01 00:00:00,Y,Y,Y
-119.28952777777778,52.12902777777778,1237,BLUE RIVER A,BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,520744500,-1191722300,PST,690.40,1160899,YCP,,Aviation-Staffed,A,1,1,CCN,RCSC,Co-operative Climate Network,Réseau coopératif de stations climatiques,1969-01-01 00:00:00,2024-11-25 00:00:00,1969-12-01 01:00:00,2015-01-15 10:00:00,1969-12-01 00:00:00,2024-11-25 00:00:00,1969-01-01 00:00:00,2007-02-01 00:00:00,Y,Y,Y
-121.50472222222223,51.14472222222222,1255,CLINTON (AUT),BC,BRITISH COLUMBIA,COLOMBIE-BRITANNIQUE,CAN,510841000,-1213017000,PST,1056.70,1161661,ZCL,,Aviation-Auto,G,1,9,ECCC - MSC,ECCC - SMC,Environment and Climate Change Canada - Meteorological Service of Canada,Environnement et Changement climatique Canada - Service météorologique du Canada,1972-01-01 00:00:00,2018-07-24 07:00:00,1994-02-01 00:00:00,2018-07-24 07:00:00,1973-01-01 00:00:00,2015-04-06 00:00:00,1972-01-01 00:00:00,2007-02-01 00:00:00,Y,N,Y
